"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Функциональность Ленты заказов","10","0","","0"
"0","","0","Тестирование основного функционала","22","0","","0"
"0","","0","Личный кабинет","8","0","","0"
"0","","0","Password Recovery","6","0","","0"
